oğuz şahingöz 48502761934
naruto uzumaki 77230984521
nagato uzumaki 12345678901
obito uchiha 98765432109
karin uzumaki 56473829104
nagato uchiha 23456789012
kamil şahingöz 87654321098
daniel jackson 34567890123
satoru gojo 89012345678
slade wilson 45678901234
inara serra 78901234567
bruce wayne 32109876543
light yagami 65748392015
ben tennyson 58392015647
gwen tennyson 78904321567
madara uchiha 12304567890
river tam 45678019283
paul atreides 90817263549
arya stark 34567892012
daniel jackson 81927364590
samantha carter 20394857612
itachi uchiha 83746592013
murat taşyürek 10928374658
